cluster,model,percent_trn_data,mean_rmse,sd_rmse,mean_n_obs_test,sd_n_obs_test
0,GMAML,1,1.7593474458134408,0.6185581373048777,367.5945945945946,1059.904226791256
0,GMAML,100,1.467275053607795,0.5015655592547286,367.5945945945946,1059.904226791256
0,HGN,1,1.7639790607084316,0.7848863758487525,367.5945945945946,1059.904226791256
0,HGN,100,1.6174154111391046,0.6633123763957138,367.5945945945946,1059.904226791256
0,MTHGN,1,1.7242754567686678,0.5945004526544223,367.5945945945946,1059.904226791256
0,MTHGN,100,1.3748070828282382,0.580672479708729,367.5945945945946,1059.904226791256
1,GMAML,1,2.2513473984457866,1.1533142318099747,236.09202453987731,827.2568816693716
1,GMAML,100,1.78748945492625,1.0013010422370034,236.09202453987731,827.2568816693716
1,HGN,1,2.1232283290862233,1.1252324627035197,236.09202453987731,827.2568816693716
1,HGN,100,1.9903133569629374,1.0044197510651425,236.09202453987731,827.2568816693716
1,MTHGN,1,2.0367590883917894,1.0915747381272216,236.09202453987731,827.2568816693716
1,MTHGN,100,1.7207262183569236,1.0676142395117931,236.09202453987731,827.2568816693716
2,GMAML,1,2.173041755090897,0.6821064838324441,214.73584905660377,520.1322372888011
2,GMAML,100,1.8235258130121388,0.7699909112243727,214.73584905660377,520.1322372888011
2,HGN,1,2.1011692615319864,0.7062775150859001,214.73584905660377,520.1322372888011
2,HGN,100,1.9093705967291112,0.8944329837586747,214.73584905660377,520.1322372888011
2,MTHGN,1,2.319893385227308,0.619103802084968,214.73584905660377,520.1322372888011
2,MTHGN,100,1.786562767100821,0.8629162682771276,214.73584905660377,520.1322372888011
3,GMAML,1,3.42912418583572,3.2126917331209457,1607.0588235294117,2208.2742829692893
3,GMAML,100,3.274690969413418,3.3062872152277105,1607.0588235294117,2208.2742829692893
3,HGN,1,3.5777944205038468,2.6584002322781384,1607.0588235294117,2208.2742829692893
3,HGN,100,3.1896402425689088,2.990545574663146,1607.0588235294117,2208.2742829692893
3,MTHGN,1,3.052696612007561,2.3943816689234496,1607.0588235294117,2208.2742829692893
3,MTHGN,100,2.7145643222378757,1.8928273448369821,1607.0588235294117,2208.2742829692893
4,GMAML,1,1.9830546274695584,1.4547669060624655,137.98305084745763,255.6852517914072
4,GMAML,100,1.7856477478240962,1.2385842370245332,137.98305084745763,255.6852517914072
4,HGN,1,2.0426441859748405,1.1670716803851755,137.98305084745763,255.6852517914072
4,HGN,100,1.825703495082714,1.1173235709709166,137.98305084745763,255.6852517914072
4,MTHGN,1,1.991080409868283,1.421689649960286,137.98305084745763,255.6852517914072
4,MTHGN,100,1.9094931191920594,1.5177670450993064,137.98305084745763,255.6852517914072
5,GMAML,1,2.3065470800687913,1.1336384430125452,387.5,1038.6314034861898
5,GMAML,100,1.9043616694621732,0.9407240056588739,387.5,1038.6314034861898
5,HGN,1,2.3133125619008985,0.9840973882524503,387.5,1038.6314034861898
5,HGN,100,2.028851714383814,1.2429058978333651,387.5,1038.6314034861898
5,MTHGN,1,2.195961926569995,1.2596305521165632,387.5,1038.6314034861898
5,MTHGN,100,2.239767904679066,1.0919689979554699,387.5,1038.6314034861898
6,GMAML,1,1.8640744980488293,0.6357695895532701,869.6521739130435,1609.5136647926138
6,GMAML,100,1.5297527794647394,0.4723317399940139,869.6521739130435,1609.5136647926138
6,HGN,1,1.9340432667456886,0.6683819275703274,869.6521739130435,1609.5136647926138
6,HGN,100,1.6323412452605905,0.649817789884261,869.6521739130435,1609.5136647926138
6,MTHGN,1,1.773491759128754,0.9357185978742302,869.6521739130435,1609.5136647926138
6,MTHGN,100,1.7380135371061116,0.6227015596075927,869.6521739130435,1609.5136647926138
7,GMAML,1,1.8460606121802299,0.6574740951700482,24.692307692307693,34.71403322237424
7,GMAML,100,1.6511325736559817,0.5161515584886273,24.692307692307693,34.71403322237424
7,HGN,1,2.49145601801363,0.7074790259370826,24.692307692307693,34.71403322237424
7,HGN,100,1.842062802789264,0.6142832225201219,24.692307692307693,34.71403322237424
7,MTHGN,1,2.1516083684059377,0.9060290091102946,24.692307692307693,34.71403322237424
7,MTHGN,100,1.6781652378844139,0.7015662141940472,24.692307692307693,34.71403322237424
8,GMAML,1,2.143088431208909,1.1287670500513407,107.72549019607843,238.36753792673804
8,GMAML,100,1.7968127126930595,1.0267176486370413,107.72549019607843,238.36753792673804
8,HGN,1,2.2085465266337043,1.030701030212038,107.72549019607843,238.36753792673804
8,HGN,100,1.9810097959641653,0.9872084945983131,107.72549019607843,238.36753792673804
8,MTHGN,1,2.044039903988833,0.9879479225861606,107.72549019607843,238.36753792673804
8,MTHGN,100,1.748291669905985,0.946941995569722,107.72549019607843,238.36753792673804
9,GMAML,1,1.9635151367731611,0.922926866433245,241.19230769230768,563.7294400139676
9,GMAML,100,1.8186139266724142,0.6193961370055773,241.19230769230768,563.7294400139676
9,HGN,1,1.9032572486587154,0.5578581229383044,241.19230769230768,563.7294400139676
9,HGN,100,1.8770029265597261,0.8720698251542193,241.19230769230768,563.7294400139676
9,MTHGN,1,2.008102512486948,0.6786956991223928,241.19230769230768,563.7294400139676
9,MTHGN,100,1.5855030238154488,0.5453041948981387,241.19230769230768,563.7294400139676
